Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
646257;259415;78624;15866;42613;17630;10976;3520;44;64;57;1
89023;61706;6438;3952;5288;7506;3942;1303;39;41;-1;1
164470;45857;5946;7592;6014;3904;2109;1076;61;23;9;0
26612;24850;9154;6647;5809;2309;1116;971;64;74;9;0
165394;43814;10178;9864;8655;13187;7232;5229;74;52;-1;0
74016;29635;11930;7885;6282;8457;15657;4092;40;62;-1;0
518150;65655;11349;10637;9024;8516;11333;8272;40;33;-1;1
224711;27752;14342;6647;7260;9087;7477;2506;84;67;33;0
59997;30730;13550;13832;9947;4903;3986;1849;59;88;8;1
14800;11849;3493;5965;3191;1455;751;561;44;55;-1;0
245963;20886;7402;4715;4868;3354;2793;1469;58;64;-1;1
23610;28464;8766;7480;9961;9291;9516;4798;76;66;-1;0
197510;25981;9851;14822;3505;5593;2716;1877;37;76;-1;1
200255;70681;11819;10711;7156;5671;2520;721;35;59;9;0
239894;41890;10292;9241;4554;6263;5320;3446;48;71;-1;1
196414;103120;12504;7279;14315;24487;18666;8101;66;46;-1;0
96763;13199;12293;6375;7534;6153;2170;2232;78;67;-1;1
225337;30972;10118;18020;7794;9725;4546;2194;61;60;-1;0
398899;61977;7578;8969;4589;4724;1540;1581;60;61;9;0
440625;39790;20142;7452;9206;8040;6269;2047;74;96;6;0
39206;5704;2371;3537;3580;3196;2203;1475;83;60;9;0
1083157;171887;24925;35530;33253;25419;9814;4018;72;61;-1;1
279868;143143;28383;17432;14239;10054;21768;4370;51;63;-1;0
292567;54586;9658;11296;12754;9350;5390;3534;66;47;-1;0
111315;32937;8791;8393;8105;6830;6199;1313;65;44;-1;0
830399;93642;17654;7386;16012;16284;19121;4271;39;53;41;1
32775;16709;5140;5426;2869;2269;871;757;47;69;-1;0
334524;85244;13761;11081;8152;14440;24235;8129;49;70;-1;0
217267;32017;5360;10310;10209;5221;3174;2120;69;47;25;1
247609;51147;23231;14297;10916;7578;5822;2935;43;82;-1;1
188671;30610;5449;8478;7713;6143;3427;1363;66;60;-1;1
336029;47602;9237;7568;8007;4449;5763;1680;78;77;13;0
187681;27099;9987;8963;9582;7669;2462;1542;76;53;15;1
537477;98484;16671;11813;16242;10154;5139;3747;34;43;17;1
72739;17228;5556;2971;2390;3488;1532;788;42;50;51;1
37057;26223;1828;5152;8847;5048;4081;2339;61;55;-1;1
388586;112954;28140;20471;24469;11785;7196;3692;47;56;8;1
85736;21555;11297;7870;17290;5686;5843;2493;68;83;11;0
615082;91589;6993;12357;7277;8137;6311;2402;43;25;13;1
168726;13714;11296;14191;7799;3238;2203;1240;57;88;-1;1
457224;128059;31307;29913;16868;11196;10039;11849;37;78;28;1
185454;49199;13386;6616;11744;7955;9302;5842;53;47;35;0
408069;60032;25033;23732;21667;11636;8432;5058;46;76;5;1
853056;244428;66894;28988;21210;27717;25700;21491;26;54;54;1
1006469;50090;13382;21878;31598;30321;21497;9214;35;53;26;1
159071;68458;9099;5592;5175;6131;2335;3220;57;27;15;1
216758;41854;9013;8584;5091;5228;2918;1056;67;62;10;0
183345;18968;7259;10370;8129;5395;3196;2707;61;89;-1;1
300822;41713;11267;13179;8583;8427;6645;4858;53;73;-1;1
345105;84390;15298;14396;13538;6102;4627;2108;47;62;26;1
107585;25476;6619;4699;4473;2992;1989;1566;62;63;19;1
180103;27177;9084;5313;3815;5828;9649;3126;68;47;-1;0
30257;21627;10798;5303;8671;7764;5227;2630;70;62;-1;1
219023;33789;5375;5905;8972;2972;2679;965;43;31;17;1
19953;6985;4510;7658;3442;2100;1058;619;38;85;-1;0
567560;107827;16270;14057;16896;13317;8218;7250;40;48;-1;1
1524232;140730;47924;32060;26486;24452;28634;17820;66;55;53;1
20631;10817;4769;5515;3597;3313;1245;1145;58;50;22;1
927135;81676;12520;16374;10451;7948;4826;1532;32;64;24;1
653155;140034;33146;34032;22106;9856;5086;2533;9;47;7;1
56303;21916;7745;11728;4057;3108;1545;828;33;70;6;0
236609;59891;11239;7692;10699;12497;21239;4328;62;40;-1;0
1514328;502053;91058;148266;44802;39314;56110;25957;40;64;50;1
291932;135991;58089;23870;36168;14453;17070;11038;33;57;53;1
756840;118760;14637;36188;19080;16543;11128;6766;50;64;7;1
75805;18749;4136;7046;8650;3429;3024;2835;67;42;21;1
493159;42630;17812;9740;6438;4087;1797;1496;54;57;27;1
847562;142689;33698;31935;23355;14124;8471;8378;26;64;25;1
188466;40845;9828;11876;8242;8285;6272;2213;37;56;-1;0
667750;100449;36838;36869;10482;15416;8870;8433;37;78;13;1
274100;71853;31053;11968;6128;8152;5754;2043;32;69;7;0
105167;28137;8154;6156;5007;4963;2100;989;54;85;-1;1
29245;11989;6285;8378;2894;3065;2494;1193;76;88;10;1
700751;185141;55184;23290;21218;18878;8061;4767;42;47;28;1
654759;356544;37893;47687;30278;28250;36568;15658;40;63;27;1
509787;63606;17112;15452;10016;4536;1565;1328;57;72;-1;0
88189;15623;6983;3740;4773;3428;1830;1659;65;57;32;1
258780;34420;22610;26219;7312;8714;4767;2005;23;64;15;1
534710;80086;10914;17022;19430;5822;4346;3026;33;40;7;1
55920;30781;6168;7233;6363;4003;2940;1713;50;59;13;1
37247;18437;4058;2980;2696;3121;3781;1715;59;53;13;1
324767;51474;8142;7173;7486;9497;5769;5706;72;61;-1;0
49184;18009;7035;4302;6761;3478;1657;1169;54;40;18;1
355043;88458;25928;16828;14237;11897;9675;4956;57;60;-1;1
535683;215432;26747;16864;12696;5018;4129;2197;28;34;31;1
16251;23017;6401;3888;6984;5601;3514;2883;73;46;-1;1
566210;64917;18164;22026;16425;7447;4871;3511;22;65;30;1
615513;128803;116201;42206;62739;69608;21877;14702;39;74;77;1
85092;31882;5166;9363;6565;6141;2328;2551;41;48;17;0
164225;28245;11278;7932;4409;3387;2456;1795;34;58;-1;0
38902;10948;5891;6823;3820;1801;1470;579;52;71;-1;0
914272;321956;35935;20671;21204;17575;13849;11044;38;62;18;1
101389;33150;8111;8182;5844;5517;6223;1599;38;64;-1;1
618756;66416;26126;36653;15382;16807;11159;9770;61;70;22;1
254916;32582;4632;13752;8560;7795;9757;6341;68;64;-1;0
628467;102132;19811;7307;9018;11532;5937;3440;46;46;34;0
348108;46990;18008;12819;12554;12348;13477;4953;62;67;-1;0
401537;138334;15636;18305;14133;11012;5172;1533;36;45;-1;1
174950;13535;6335;13495;4382;8767;3908;1244;77;73;-1;0
588684;94127;15069;21041;18486;9129;6326;3939;55;53;18;1
